Date,DJSI-US,food inflation index (cpi),D3,D4,D5,D6,Crude
2/3/2011,103.93,#N/A,#N/A,#N/A,#N/A,#N/A,101.69
2/4/2011,104.1,#N/A,#N/A,#N/A,#N/A,#N/A,99.43
2/7/2011,104.66,#N/A,#N/A,0.92,0.64,0.01,99.44
2/8/2011,105.06,#N/A,#N/A,#N/A,#N/A,#N/A,99.25
2/9/2011,104.82,#N/A,#N/A,#N/A,#N/A,#N/A,100.16
2/10/2011,104.47,#N/A,#N/A,#N/A,#N/A,#N/A,100.74
2/11/2011,104.81,#N/A,#N/A,#N/A,#N/A,#N/A,99.93
2/14/2011,104.88,#N/A,#N/A,0.93,0.57,0.01,103.12
2/15/2011,104.64,#N/A,#N/A,#N/A,#N/A,#N/A,102.48
2/16/2011,105.22,#N/A,#N/A,#N/A,#N/A,#N/A,102.78
2/17/2011,105.73,#N/A,#N/A,#N/A,#N/A,#N/A,103.45
2/18/2011,105.98,#N/A,#N/A,#N/A,#N/A,#N/A,102.2
2/21/2011,105.98,#N/A,#N/A,1.12,0.45,0.01,102.2
2/22/2011,104.31,#N/A,#N/A,#N/A,#N/A,#N/A,106.82
2/23/2011,103.46,#N/A,#N/A,#N/A,#N/A,#N/A,109.77
2/24/2011,103.2,#N/A,#N/A,#N/A,#N/A,#N/A,113.91
2/25/2011,104.02,#N/A,#N/A,#N/A,#N/A,#N/A,111.47
2/28/2011,104.72,#N/A,#N/A,0.86,0.54,0.01,112.27
3/1/2011,103.32,92.11,#N/A,#N/A,#N/A,#N/A,113.34
3/3/2011,104.83,#N/A,#N/A,#N/A,#N/A,#N/A,114.42
3/4/2011,103.99,#N/A,#N/A,#N/A,#N/A,#N/A,115.71
3/7/2011,103.2,#N/A,#N/A,0.93,0.47,0.01,116.58
3/8/2011,104,#N/A,#N/A,#N/A,#N/A,#N/A,112.32
3/9/2011,104.05,#N/A,#N/A,#N/A,#N/A,#N/A,115.19
3/10/2011,102.26,#N/A,#N/A,#N/A,#N/A,#N/A,114.07
3/11/2011,102.79,#N/A,#N/A,#N/A,#N/A,#N/A,114.07
3/14/2011,102.05,#N/A,#N/A,0.93,0.53,0.01,112.95
3/15/2011,100.84,#N/A,#N/A,#N/A,#N/A,#N/A,111.11
3/16/2011,98.86,#N/A,#N/A,#N/A,#N/A,#N/A,110.96
3/17/2011,100.18,#N/A,#N/A,#N/A,#N/A,#N/A,114.18
3/18/2011,100.6,#N/A,#N/A,#N/A,#N/A,#N/A,114.13
3/21/2011,102.1,#N/A,#N/A,0.81,0.51,0.03,114.92
3/22/2011,101.73,#N/A,#N/A,#N/A,#N/A,#N/A,115.63
3/23/2011,102.25,#N/A,#N/A,#N/A,#N/A,#N/A,115.65
3/24/2011,103.05,#N/A,#N/A,#N/A,#N/A,#N/A,115.41
3/25/2011,103.2,#N/A,#N/A,#N/A,#N/A,#N/A,115.45
3/28/2011,103.18,#N/A,#N/A,0.65,0.56,0.01,115.95
3/29/2011,103.96,#N/A,#N/A,#N/A,#N/A,#N/A,115.58
3/30/2011,104.71,#N/A,#N/A,#N/A,#N/A,#N/A,115.35
3/31/2011,104.46,#N/A,#N/A,#N/A,#N/A,#N/A,116.94
4/1/2011,104.95,92.45,#N/A,#N/A,#N/A,#N/A,118.63
4/4/2011,105.08,#N/A,#N/A,1.18,0.46,0.01,120.07
4/5/2011,105.2,#N/A,#N/A,#N/A,#N/A,#N/A,122.87
4/6/2011,105.57,#N/A,#N/A,#N/A,#N/A,#N/A,123.01
4/7/2011,105.39,#N/A,#N/A,#N/A,#N/A,#N/A,122.9
4/8/2011,105.03,#N/A,#N/A,#N/A,#N/A,#N/A,126.3
4/11/2011,104.76,#N/A,#N/A,1.14,0.53,0.01,126.46
4/13/2011,103.92,#N/A,#N/A,#N/A,#N/A,#N/A,122.7
4/15/2011,104.7,#N/A,#N/A,#N/A,#N/A,#N/A,124.63
4/18/2011,103.62,#N/A,#N/A,1.26,0.48,0.01,121.69
