Country Name,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,(blank),Grand Total
Afghanistan,,,,,,,,,,,,,,,,0.467,0.592,0.687,0.939,0.894,0.934,0.837,0.946,0.728,0.938,0.936,0.847,0.912,1.103,1.154,1.178,1.21,1.256,1.115,1.032,,,,18.705
Africa,258.986,270.11,280.26,295.296,306.648,318.921,324.998,328.02,339.205,351.47,362.728,382.192,400.91,406.309,418.404,438.497,456.389,484.047,505.2,536.015,555.81,581.459,605.509,619.529,627.069,671.579,689.045,720.639,743.423,767.379,787.381,802.473,828.095,845.795,870.11,,,,18179.9
Albania,,,,,,3.3,3.82,3.4,3.53,3.94,4.47,5.99,5.23,5.11,5.42,4.77,3.73,3.74,5,5.61,5.44,5.52,2.86,3.8,5.2,7.57,4.19,4.72,6.96,4.72,5.89,7.78,4.52,8.55,5.2,,,,149.98
Algeria,12.274,12.981,12.722,13.966,15.324,16.104,17.345,18.286,19.414,19.883,19.715,20.654,21.497,23.262,24.757,23.89,25.031,25.992,27.81,29.387,31.907,33.124,34.976,37.836,36.206,42.998,48.176,53.985,56.314,60.401,64.682,66.755,71.495,72.057,74.348,,,,1185.554
American Samoa,,,,,,,,,,,,,,,,0.159,0.161,0.168,0.177,0.177,0.178,0.181,0.184,0.187,0.178,0.159,0.155,0.157,0.156,0.156,0.163,0.17,0.167,0.163,0.163,,,,3.359
Angola,,,,,,,,,,,,,,,,1.404,1.591,1.717,1.938,2.186,2.73,3.241,3.149,4.064,4.606,5.317,5.523,6.034,7.976,9.217,9.309,10.204,10.676,11.686,12.478,,,,115.046
Antarctica,,,,,,,,,,,,,,,,0,0,0,0,0,0.002,0.002,0.002,0.002,0.004,0.004,0.004,0,0,0,0.001,0.001,0,0,0,,,,0.022
Antigua and Barbuda,,,,,,,,,,,,,,,,0.141,0.161,0.18,0.198,0.208,0.228,0.243,0.263,0.271,0.308,0.319,0.318,0.31,0.311,0.317,0.325,0.329,0.329,0.338,0.342,,,,5.439
Argentina,45.304,49.022,52.115,52.5,50.863,51.005,53.854,56.107,61.869,65.622,67.169,69.76,72.462,74.17,80.745,85.24,86.501,81.156,88.146,95.691,100.865,111.412,110.869,114.757,116.301,119.626,122.754,128.693,132.311,131.614,137.8,139.362,138.208,139.48,132.683,135.149,,,3351.185
Armenia,,,,,,,,,,,,,,,,5.618,5.568,5.215,5.212,5.904,5.978,5.617,5.584,5.466,5.378,6.176,7.071,7.622,7.306,7.334,7.392,6.951,7.362,7.387,7.256,,,,127.397
Aruba,,,,,,,,,,,,,,,,0.73,0.76,0.775,0.791,0.813,0.855,0.854,0.88,0.859,0.899,0.89,0.882,0.868,0.895,0.894,0.922,0.91,0.934,0.967,0.991,,,,17.369
Asia Pacific,1723.1,1814.939,1970.642,2122.336,2287.685,2468.861,2635.486,2779.897,2918.25,3175.682,3395.297,3571.364,3742.363,3849.126,4039.029,4285.699,4477.992,4762.239,5098.706,5567.612,5971.181,6456.82,7014.725,7302.205,7537.454,8257.67,8875.073,9278.183,9813.078,10333.414,10430.831,10946.516,11568.56,12309.337,12690.482,,,,205471.834
Australia,123.673,129.527,135.815,143.374,151.433,155.654,157.964,161.4,165.382,170.142,175.224,180.127,188.98,199.471,206.9,198.16,211.738,214.646,213.629,223.072,215.7,219.902,229.515,229.554,234.745,238.759,240.06,237.356,236.225,234.693,238.222,243.12,244.716,247.827,253.679,251.348,,,7301.732
Austria,44.535,44.653,50.518,49.024,50.174,49.3,50.18,49.95,51.37,52.11,55.18,53.57,55.68,55.92,59.92,59.85,61.06,60.69,58.06,61.93,64.49,62.28,62.91,64.5,66.3,67.91,62.26,68.7,64.59,61.62,61.85,65.25,67.42,65.04,70.86,69.14,65.93,,2184.724
Azerbaijan,20.702,21.542,22.909,23.572,23.3,23.152,23.45,19.763,19.051,17.571,17.044,17.085,16.836,17.995,18.176,17.654,17.896,18.472,20.131,20.482,20.095,22.32,20.654,20.456,17.85,17.76,19.21,21.7,22.035,23.32,23.3,23.567,22.961,23.819,24.596,25.778,,,746.204
Bahamas,,,,,,,,,,,,,,,,1.565,1.626,1.716,1.81,1.795,1.894,1.928,2.045,2.05,1.945,1.89,1.932,1.787,1.773,1.809,1.88,1.85,1.87,1.903,1.911,,,,36.979
Bahrain,,,,,,,,,,,,,,,,13.023,13.737,14.338,14.755,15.177,18.205,19.774,20.419,21.451,21.209,22.397,22.88,23.29,24.363,25.627,26.784,26.809,27.481,27.782,28.115,,,,427.616
Bangladesh,4.528,4.8,5.587,6.541,7.115,7.732,8.27,8.894,9.206,9.784,10.806,11.474,11.858,12.882,14.45,14.873,16.399,17.6,18.589,23.269,25.442,29.247,29.21,32.33,35.071,38.494,41.664,45.735,50.041,52.597,55.602,64.843,68.926,73.971,79.781,80.408,,,1028.019
Barbados,,,,,,,,,,,,,,,,0.758,0.796,0.828,0.868,0.896,0.953,0.976,1.003,1.011,1.023,0.968,0.989,1.064,0.959,0.969,0.982,1.013,1.008,1.01,1.015,,,,19.089
Belarus,33.175,36.282,37.453,38.15,38.489,39.526,38.735,37.595,33.369,31.397,24.918,23.728,26.057,23.492,26.516,24.537,23.561,24.869,25.031,29.339,29.107,29.91,29.927,32.904,28.482,32.81,30.277,28.962,29.633,32.667,32.056,31.576,32.487,36.692,37.716,35.936,,,1127.361
Belgium,57.322,58.676,63.367,65.349,67.547,70.29,71.19,71.42,70.08,71.34,73.52,75.14,77.88,82.09,83.37,82.79,78.63,80.94,83.57,84.36,85.45,84.1,87.29,83.35,89.73,94.19,89.04,81.41,81.72,71.04,68.24,84.16,85.09,73.57,92.41,87.5,98.11,,2905.271
Belize,,,,,,,,,,,,,,,,0.181,0.15,0.152,0.175,0.16,0.164,0.226,0.232,0.231,0.222,0.35,0.346,0.315,0.345,0.362,0.377,0.391,0.405,0.403,0.454,,,,5.641
Benin,,,,,,,,,,,,,,,,0.079,0.062,0.059,0.075,0.076,0.101,0.146,0.208,0.216,0.121,0.109,0.097,0.047,0.089,0.228,0.312,0.26,0.312,0.19,0.15,,,,2.937
Bermuda,,,,,,,,,,,,,,,,0.595,0.644,0.643,0.624,0.627,0.652,0.666,0.676,0.685,0.694,0.686,0.674,0.658,0.637,0.62,0.634,0.625,0.633,0.602,0.591,,,,12.866
Bhutan,,,,,,,,,,,,,,,,1.793,1.921,2.178,2.504,2.33,2.621,4.475,6.496,6.892,6.929,7.256,6.977,6.747,7.533,7.151,7.733,7.881,7.652,6.891,6.61,,,,110.57
Bolivia,,,,,,,,,,,,,,,,3.775,3.851,4.046,4.175,4.363,4.694,5.08,5.512,5.599,5.903,6.447,6.878,7.297,7.619,8.072,8.628,8.854,9.174,9.443,9.739,9.421,,,138.57
Bosnia and Herzegovina,,,,,,,,,,,,,,,,10.058,10.259,10.401,10.815,12.263,12.146,12.803,11.277,14.177,15.04,16.498,14.583,13.449,16.767,17.02,16.43,17.76,16.24,19.07,17.42,16.96,17.64,,319.076
Botswana,,,,,,,,,,,,,,,,0.89,0.949,0.842,0.681,0.74,0.815,0.746,0.578,0.552,0.417,0.5,0.449,0.33,0.869,2.176,2.791,2.53,2.844,2.97,3.029,,,,25.698
Brazil,193.682,202.129,203.331,214.953,221.739,222.82,234.376,241.762,252.003,260.041,275.601,291.279,307.981,321.749,334.726,342.574,323.168,340.297,358.896,381.182,395.721,411.925,437.187,454.678,458.666,506.748,523.12,542.895,559.372,577.739,568.688,567.965,577.962,591.61,615.353,605.727,,,13919.645
British Virgin Islands,,,,,,,,,,,,,,,,0.04,0.038,0.038,0.042,0.042,0.093,0.1,0.104,0.116,0.15,0.185,0.181,0.186,0.186,0.186,0.198,0.2,0.141,0.102,0.07,,,,2.398
Brunei,,,,,,,,,,,,,,,,2.39,2.424,2.539,3,3.068,3.068,3.1,3.191,3.218,3.395,3.564,3.5,3.694,4.138,4.236,3.948,4.014,3.908,4.036,4.066,,,,68.497
Bulgaria,41.632,41.82,43.473,45.021,44.331,41.9,40.69,35.44,37.84,37.98,41.65,42.68,42.59,41.45,37.98,40.6,43.45,42.09,42.29,41.4,43.93,45.48,42.9,44.56,42.33,45.98,49.95,46.51,43.01,46.91,48.7,44.56,44.92,46.55,43.82,40.02,47.08,,1593.517
Burkina Faso,,,,,,,,,,,,,,,,0.318,0.327,0.365,0.445,0.472,0.489,0.52,0.582,0.589,0.664,0.543,0.538,0.603,0.674,0.834,0.957,0.939,1.058,1.182,1.244,,,,13.343
Burundi,,,,,,,,,,,,,,,,0.1,0.116,0.128,0.102,0.092,0.097,0.094,0.118,0.113,0.122,0.149,0.147,0.15,0.174,0.187,0.18,0.184,0.279,0.257,0.347,,,,3.136
Cambodia,,,,,,,,,,,,,,,,0.467,0.509,0.686,0.72,0.769,0.91,1.109,1.404,1.394,1.184,0.944,1,1.376,1.723,2.972,4.236,5.392,6.719,7.925,7.587,,,,49.026
Cameroon,,,,,,,,,,,,,,,,3.444,3.502,3.261,3.64,4.06,3.952,5.033,5.126,5.557,5.641,5.763,5.792,5.376,6.225,6.734,7.727,6.959,7.871,8.363,8.72,,,,112.746
Canada,459.016,468.584,496.398,506.016,498.093,480.593,506.995,518.627,530.232,553.055,557.869,571.622,572.341,561.991,577.774,588.424,572.362,583.94,572.384,582.408,606.367,592.658,612.989,614.747,597.067,585.804,615.165,615.806,640.339,636.321,639.504,645.838,645.224,637.221,632.401,628.316,,,20704.491
Cape Verde,,,,,,,,,,,,,,,,0.138,0.155,0.171,0.187,0.206,0.222,0.236,0.253,0.27,0.281,0.325,0.346,0.359,0.385,0.408,0.401,0.423,0.459,0.489,0.517,,,,6.231
Cayman Islands,,,,,,,,,,,,,,,,0.398,0.425,0.448,0.463,0.486,0.394,0.486,0.546,0.578,0.597,0.594,0.594,0.587,0.596,0.605,0.624,0.654,0.668,0.658,0.695,,,,11.096
Central African Republic,,,,,,,,,,,,,,,,0.105,0.106,0.106,0.107,0.149,0.159,0.166,0.16,0.16,0.159,0.159,0.171,0.174,0.138,0.169,0.169,0.17,0.151,0.151,0.151,,,,2.98
Chad,,,,,,,,,,,,,,,,0.086,0.094,0.101,0.108,0.115,0.121,0.122,0.121,0.141,0.172,0.188,0.205,0.193,0.212,0.212,0.214,0.225,0.225,0.229,0.231,,,,3.315
Chile,14.04,14.82,15.637,16.915,17.811,18.398,19.963,22.35,24.013,25.276,28.027,30.791,33.292,35.495,38.384,39.878,41.154,42.281,45.212,49.357,50.767,53.544,56.318,57.519,58.513,58.084,63.259,66.91,70.031,67.768,72.332,76.091,76.242,79.091,78.416,78.829,,,1636.808
China,410.69,449.53,497.267,545.21,584.81,621.2,677.55,753.94,811.59,927.8,1007.03,1081.31,1135.55,1167,1239.3,1319.101,1463.931,1634.137,1858.612,2160.98,2421.429,2780.611,3227.072,3431.351,3674.899,4225.469,4719.4,4986.48,5372.18,5604.5,5740,6022.8,6448.7,6996.2,7326.7,7623.696,,,100948.025
CIS,1213.718,1265.841,1321.837,1344.297,1357.639,1363.653,1343.325,1265.638,1195.778,1095.189,1068.325,1046.585,1025.339,1013.279,1034.143,1071.699,1089.075,1093.269,1129.697,1156.951,1180.583,1226.637,1257.038,1281.95,1226.236,1283.983,1308.507,1330.408,1323.675,1337.935,1340.887,1369.322,1383.039,1416.33,1431.039,,,,43192.846
